dist,algo,impl,dtype,N,threads,ms,s_per_elem,ns_per_elem,mels_per_s,bytes,GB,GBps,sorted,match_ref,error,blocks,repeats,kernel_ms_avg,kernel_ms_std,total_ms_avg,total_ms_std,verified,dataset
uniform,radix,gpu,uint64,10000,256,2.432569,0.000000,243.256867,4.110881,80000.000000,0.000080,0.032887,1,1,0.000000,40,3,2.384555,1.310520,2.432569,1.312427,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/uniform_n10000_min0_max4294967295_dtypeuint64_seed42.bin
uniform,bitonic,gpu,uint64,10000,256,0.272822,0.000000,27.282200,36.653936,80000.000000,0.000080,0.293231,1,1,0.000000,40,3,0.250912,0.015907,0.272822,0.020874,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/uniform_n10000_min0_max4294967295_dtypeuint64_seed42.bin
uniform,bucket_radix,gpu,uint64,10000,256,2.101062,0.000000,210.106167,4.759499,80000.000000,0.000080,0.038076,1,1,0.000000,40,3,2.085323,0.371233,2.101062,0.371347,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/uniform_n10000_min0_max4294967295_dtypeuint64_seed42.bin
uniform,radix,gpu,uint64,100000,256,14.313410,0.000000,143.134103,6.986455,800000.000000,0.000800,0.055892,1,1,0.000000,272,3,14.263883,0.180155,14.313410,0.184707,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/uniform_n100000_min0_max4294967295_dtypeuint64_seed42.bin
uniform,bitonic,gpu,uint64,100000,256,0.590134,0.000000,5.901337,169.453135,800000.000000,0.000800,1.355625,1,1,0.000000,272,3,0.483051,0.009105,0.590134,0.023775,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/uniform_n100000_min0_max4294967295_dtypeuint64_seed42.bin
uniform,bucket_radix,gpu,uint64,100000,256,15.258176,0.000000,152.581757,6.553863,800000.000000,0.000800,0.052431,1,1,0.000000,272,3,15.184853,0.475314,15.258176,0.471190,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/uniform_n100000_min0_max4294967295_dtypeuint64_seed42.bin
uniform,radix,gpu,uint64,1000000,256,18.028534,0.000000,18.028534,55.467628,8000000.000000,0.008000,0.443741,1,1,0.000000,272,3,17.976235,0.183271,18.028534,0.184180,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/uniform_n1000000_min0_max4294967295_dtypeuint64_seed42.bin
uniform,bitonic,gpu,uint64,1000000,256,5.707669,0.000000,5.707669,175.202872,8000000.000000,0.008000,1.401623,1,1,0.000000,272,3,5.523915,0.008719,5.707669,0.009190,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/uniform_n1000000_min0_max4294967295_dtypeuint64_seed42.bin
uniform,bucket_radix,gpu,uint64,1000000,256,18.765210,0.000000,18.765210,53.290105,8000000.000000,0.008000,0.426321,1,1,0.000000,272,3,18.656981,0.476586,18.765210,0.473163,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/uniform_n1000000_min0_max4294967295_dtypeuint64_seed42.bin
uniform,radix,gpu,uint64,10000000,256,52.174060,0.000000,5.217406,191.666128,80000000.000000,0.080000,1.533329,1,1,0.000000,272,3,52.115050,0.350815,52.174060,0.353058,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/uniform_n10000000_min0_max4294967295_dtypeuint64_seed42.bin
uniform,bitonic,gpu,uint64,10000000,256,100.879973,0.000000,10.087997,99.127703,80000000.000000,0.080000,0.793022,1,1,0.000000,272,3,100.080210,0.021670,100.879973,0.186374,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/uniform_n10000000_min0_max4294967295_dtypeuint64_seed42.bin
uniform,bucket_radix,gpu,uint64,10000000,256,45.597636,0.000000,4.559764,219.309613,80000000.000000,0.080000,1.754477,1,1,0.000000,272,3,45.475508,0.522278,45.597636,0.518909,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/uniform_n10000000_min0_max4294967295_dtypeuint64_seed42.bin
uniform,radix,gpu,uint64,100000000,256,319.205037,0.000000,3.192050,313.278264,800000000.000000,0.800000,2.506226,1,1,0.000000,272,3,319.136414,0.288669,319.205037,0.299375,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/uniform_n100000000_min0_max4294967295_dtypeuint64_seed42.bin
uniform,bitonic,gpu,uint64,100000000,256,1093.156592,0.000000,10.931566,91.478202,800000000.000000,0.800000,0.731826,1,1,0.000000,272,3,1086.699666,0.015516,1093.156592,1.725885,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/uniform_n100000000_min0_max4294967295_dtypeuint64_seed42.bin
uniform,bucket_radix,gpu,uint64,100000000,256,325.010204,0.000000,3.250102,307.682647,800000000.000000,0.800000,2.461461,1,1,0.000000,272,3,324.881907,0.441773,325.010204,0.437446,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/uniform_n100000000_min0_max4294967295_dtypeuint64_seed42.bin
gaussian,radix,gpu,uint64,10000,256,1.716912,0.000000,171.691167,5.824411,80000.000000,0.000080,0.046595,1,1,0.000000,40,3,1.671360,0.196548,1.716912,0.202910,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/gaussian_n10000_min0_max4294967295_dtypeuint64_seed42_mu0.0_sigma100.0.bin
gaussian,bitonic,gpu,uint64,10000,256,0.249192,0.000000,24.919200,40.129699,80000.000000,0.000080,0.321038,1,1,0.000000,40,3,0.229589,0.010119,0.249192,0.015814,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/gaussian_n10000_min0_max4294967295_dtypeuint64_seed42_mu0.0_sigma100.0.bin
gaussian,bucket_radix,gpu,uint64,10000,256,2.024327,0.000000,202.432700,4.939913,80000.000000,0.000080,0.039519,1,1,0.000000,40,3,2.008779,0.390027,2.024327,0.392962,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/gaussian_n10000_min0_max4294967295_dtypeuint64_seed42_mu0.0_sigma100.0.bin
gaussian,radix,gpu,uint64,100000,256,13.860457,0.000000,138.604567,7.214769,800000.000000,0.000800,0.057718,1,1,0.000000,272,3,13.819520,0.186661,13.860457,0.187994,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/gaussian_n100000_min0_max4294967295_dtypeuint64_seed42_mu0.0_sigma100.0.bin
gaussian,bitonic,gpu,uint64,100000,256,0.578810,0.000000,5.788103,172.768166,800000.000000,0.000800,1.382145,1,1,0.000000,272,3,0.473195,0.010052,0.578810,0.025042,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/gaussian_n100000_min0_max4294967295_dtypeuint64_seed42_mu0.0_sigma100.0.bin
gaussian,bucket_radix,gpu,uint64,100000,256,15.081835,0.000000,150.818350,6.630493,800000.000000,0.000800,0.053044,1,1,0.000000,272,3,14.986506,0.442597,15.081835,0.440260,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/gaussian_n100000_min0_max4294967295_dtypeuint64_seed42_mu0.0_sigma100.0.bin
gaussian,radix,gpu,uint64,1000000,256,17.656570,0.000000,17.656570,56.636142,8000000.000000,0.008000,0.453089,1,1,0.000000,272,3,17.610379,0.275301,17.656570,0.277077,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/gaussian_n1000000_min0_max4294967295_dtypeuint64_seed42_mu0.0_sigma100.0.bin
gaussian,bitonic,gpu,uint64,1000000,256,4.577409,0.000000,4.577409,218.464201,8000000.000000,0.008000,1.747714,1,1,0.000000,272,3,4.400021,0.008812,4.577409,0.012644,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/gaussian_n1000000_min0_max4294967295_dtypeuint64_seed42_mu0.0_sigma100.0.bin
gaussian,bucket_radix,gpu,uint64,1000000,256,18.382276,0.000000,18.382276,54.400228,8000000.000000,0.008000,0.435202,1,1,0.000000,272,3,18.222785,0.478597,18.382276,0.473855,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/gaussian_n1000000_min0_max4294967295_dtypeuint64_seed42_mu0.0_sigma100.0.bin
gaussian,radix,gpu,uint64,10000000,256,48.626710,0.000000,4.862671,205.648295,80000000.000000,0.080000,1.645186,1,1,0.000000,272,3,48.565216,0.371873,48.626710,0.377038,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/gaussian_n10000000_min0_max4294967295_dtypeuint64_seed42_mu0.0_sigma100.0.bin
gaussian,bitonic,gpu,uint64,10000000,256,81.695818,0.000000,8.169582,122.405286,80000000.000000,0.080000,0.979242,1,1,0.000000,272,3,80.894315,0.004615,81.695818,0.163745,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/gaussian_n10000000_min0_max4294967295_dtypeuint64_seed42_mu0.0_sigma100.0.bin
gaussian,bucket_radix,gpu,uint64,10000000,256,42.629767,0.000000,4.262977,234.577871,80000000.000000,0.080000,1.876623,1,1,0.000000,272,3,42.510988,0.454834,42.629767,0.452839,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/gaussian_n10000000_min0_max4294967295_dtypeuint64_seed42_mu0.0_sigma100.0.bin
gaussian,radix,gpu,uint64,100000000,256,290.190835,0.000000,2.901908,344.600821,800000000.000000,0.800000,2.756807,1,1,0.000000,272,3,290.127970,0.463545,290.190835,0.474077,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/gaussian_n100000000_min0_max4294967295_dtypeuint64_seed42_mu0.0_sigma100.0.bin
gaussian,bitonic,gpu,uint64,100000000,256,832.232713,0.000000,8.322327,120.158699,800000000.000000,0.800000,0.961270,1,1,0.000000,272,3,825.768494,0.212866,832.232713,1.799408,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/gaussian_n100000000_min0_max4294967295_dtypeuint64_seed42_mu0.0_sigma100.0.bin
gaussian,bucket_radix,gpu,uint64,100000000,256,295.928413,0.000000,2.959284,337.919563,800000000.000000,0.800000,2.703357,1,1,0.000000,272,3,295.804209,0.524471,295.928413,0.531166,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/gaussian_n100000000_min0_max4294967295_dtypeuint64_seed42_mu0.0_sigma100.0.bin
exponential,radix,gpu,uint64,10000,256,1.779732,0.000000,177.973167,5.618825,80000.000000,0.000080,0.044951,1,1,0.000000,40,3,1.734816,0.198467,1.779732,0.200046,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/exponential_n10000_min0_max4294967295_dtypeuint64_seed42_lam1.0.bin
exponential,bitonic,gpu,uint64,10000,256,0.259396,0.000000,25.939567,38.551145,80000.000000,0.000080,0.308409,1,1,0.000000,40,3,0.239605,0.009687,0.259396,0.015080,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/exponential_n10000_min0_max4294967295_dtypeuint64_seed42_lam1.0.bin
exponential,bucket_radix,gpu,uint64,10000,256,2.015815,0.000000,201.581467,4.960774,80000.000000,0.000080,0.039686,1,1,0.000000,40,3,2.000779,0.387455,2.015815,0.389073,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/exponential_n10000_min0_max4294967295_dtypeuint64_seed42_lam1.0.bin
exponential,radix,gpu,uint64,100000,256,14.370372,0.000000,143.703720,6.958762,800000.000000,0.000800,0.055670,1,1,0.000000,272,3,14.322752,0.201177,14.370372,0.204962,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/exponential_n100000_min0_max4294967295_dtypeuint64_seed42_lam1.0.bin
exponential,bitonic,gpu,uint64,100000,256,0.462419,0.000000,4.624190,216.254090,800000.000000,0.000800,1.730033,1,1,0.000000,272,3,0.360309,0.007172,0.462419,0.021042,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/exponential_n100000_min0_max4294967295_dtypeuint64_seed42_lam1.0.bin
exponential,bucket_radix,gpu,uint64,100000,256,15.038433,0.000000,150.384333,6.649629,800000.000000,0.000800,0.053197,1,1,0.000000,272,3,14.944085,0.441289,15.038433,0.439342,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/exponential_n100000_min0_max4294967295_dtypeuint64_seed42_lam1.0.bin
exponential,radix,gpu,uint64,1000000,256,17.819241,0.000000,17.819241,56.119114,8000000.000000,0.008000,0.448953,1,1,0.000000,272,3,17.768971,0.217749,17.819241,0.221587,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/exponential_n1000000_min0_max4294967295_dtypeuint64_seed42_lam1.0.bin
exponential,bitonic,gpu,uint64,1000000,256,5.673502,0.000000,5.673502,176.257990,8000000.000000,0.008000,1.410064,1,1,0.000000,272,3,5.523019,0.012485,5.673502,0.019322,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/exponential_n1000000_min0_max4294967295_dtypeuint64_seed42_lam1.0.bin
exponential,bucket_radix,gpu,uint64,1000000,256,18.687003,0.000000,18.687003,53.513128,8000000.000000,0.008000,0.428105,1,1,0.000000,272,3,18.530059,0.471302,18.687003,0.467637,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/exponential_n1000000_min0_max4294967295_dtypeuint64_seed42_lam1.0.bin
exponential,radix,gpu,uint64,10000000,256,52.022962,0.000000,5.202296,192.222811,80000000.000000,0.080000,1.537782,1,1,0.000000,272,3,51.965013,0.280057,52.022962,0.281869,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/exponential_n10000000_min0_max4294967295_dtypeuint64_seed42_lam1.0.bin
exponential,bitonic,gpu,uint64,10000000,256,100.648447,0.000000,10.064845,99.355731,80000000.000000,0.080000,0.794846,1,1,0.000000,272,3,99.854060,0.085197,100.648447,0.217080,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/exponential_n10000000_min0_max4294967295_dtypeuint64_seed42_lam1.0.bin
exponential,bucket_radix,gpu,uint64,10000000,256,45.244065,0.000000,4.524407,221.023463,80000000.000000,0.080000,1.768188,1,1,0.000000,272,3,45.124266,0.489272,45.244065,0.484198,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/exponential_n10000000_min0_max4294967295_dtypeuint64_seed42_lam1.0.bin
exponential,radix,gpu,uint64,100000000,256,316.137895,0.000000,3.161379,316.317663,800000000.000000,0.800000,2.530541,1,1,0.000000,272,3,316.069876,0.182224,316.137895,0.196264,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/exponential_n100000000_min0_max4294967295_dtypeuint64_seed42_lam1.0.bin
exponential,bitonic,gpu,uint64,100000000,256,1092.995419,0.000000,10.929954,91.491692,800000000.000000,0.800000,0.731934,1,1,0.000000,272,3,1086.530436,0.052978,1092.995419,1.744068,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/exponential_n100000000_min0_max4294967295_dtypeuint64_seed42_lam1.0.bin
exponential,bucket_radix,gpu,uint64,100000000,256,322.857642,0.000000,3.228576,309.734034,800000000.000000,0.800000,2.477872,1,1,0.000000,272,3,322.732442,0.472054,322.857642,0.470536,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/exponential_n100000000_min0_max4294967295_dtypeuint64_seed42_lam1.0.bin
staggered,radix,gpu,uint64,10000,256,1.729835,0.000000,172.983533,5.780897,80000.000000,0.000080,0.046247,1,1,0.000000,40,3,1.685835,0.211388,1.729835,0.216028,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/staggered_n10000_min0_max4294967295_dtypeuint64_seed42.bin
staggered,bitonic,gpu,uint64,10000,256,0.258595,0.000000,25.859500,38.670508,80000.000000,0.000080,0.309364,1,1,0.000000,40,3,0.238699,0.014991,0.258595,0.019931,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/staggered_n10000_min0_max4294967295_dtypeuint64_seed42.bin
staggered,bucket_radix,gpu,uint64,10000,256,2.017403,0.000000,201.740300,4.956868,80000.000000,0.000080,0.039655,1,1,0.000000,40,3,2.001803,0.363771,2.017403,0.364702,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/staggered_n10000_min0_max4294967295_dtypeuint64_seed42.bin
staggered,radix,gpu,uint64,100000,256,14.142987,0.000000,141.429870,7.070642,800000.000000,0.000800,0.056565,1,1,0.000000,272,3,14.093899,0.245142,14.142987,0.255244,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/staggered_n100000_min0_max4294967295_dtypeuint64_seed42.bin
staggered,bitonic,gpu,uint64,100000,256,0.452946,0.000000,4.529460,220.776870,800000.000000,0.000800,1.766215,1,1,0.000000,272,3,0.347499,0.008272,0.452946,0.021037,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/staggered_n100000_min0_max4294967295_dtypeuint64_seed42.bin
staggered,bucket_radix,gpu,uint64,100000,256,15.078637,0.000000,150.786370,6.631899,800000.000000,0.000800,0.053055,1,1,0.000000,272,3,14.982923,0.436657,15.078637,0.435372,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/staggered_n100000_min0_max4294967295_dtypeuint64_seed42.bin
